artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,expected_sha256,source_kind,schema_status,read_status,observed_row_n,cache_hash_validated,cache_schema_validated,cache_key_reconciliation_gate,absolute_path_mismatch_ignored,blocking_reason
eighteen_c_refresh_bucket_lift,eighteen_c_refresh_handoff,required,eighteen_c_refresh_bucket_lift,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_bucket_lift.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_bucket_lift.csv,18_payoff_state_representation_research,18C,6,0a249389bf2f9e436d42003c2d94787aaf7294b54fa2fbd5fa257b50f1520a7c,0a249389bf2f9e436d42003c2d94787aaf7294b54fa2fbd5fa257b50f1520a7c,publishable_or_local_cache,pass,pass,6,exact_match,True,pass,False,
eighteen_c_refresh_bootstrap_ci,eighteen_c_refresh_handoff,required,eighteen_c_refresh_bootstrap_ci,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_bootstrap_ci.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_bootstrap_ci.csv,18_payoff_state_representation_research,18C,1,25b7f6f9c76034d9c80ba625653ee86c633374bacda017b31239c10462c3b4a6,25b7f6f9c76034d9c80ba625653ee86c633374bacda017b31239c10462c3b4a6,publishable_or_local_cache,pass,pass,1,exact_match,True,pass,False,
eighteen_c_refresh_model_registry,eighteen_c_refresh_model,required,eighteen_c_refresh_model_registry,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_model_registry.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_model_registry.csv,18_payoff_state_representation_research,18C,10,46ecda6d4d879fae441ed660db6567efafcef2469327b6fff652f3033d69d8de,46ecda6d4d879fae441ed660db6567efafcef2469327b6fff652f3033d69d8de,publishable_or_local_cache,pass,pass,10,exact_match,True,pass,False,
eighteen_c_refresh_model_coefficients,eighteen_c_refresh_model,required,eighteen_c_refresh_model_coefficients,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_model_coefficients.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/payoff_state_model_coefficients.csv,18_payoff_state_representation_research,18C,294,73fe69888208d9c5bc67947720971e26ade8b4189d884e55c651a3012a039b62,73fe69888208d9c5bc67947720971e26ade8b4189d884e55c651a3012a039b62,publishable_or_local_cache,pass,pass,294,exact_match,True,pass,False,
eighteen_c_refresh_topk_sensitivity,eighteen_c_refresh_sensitivity,required,eighteen_c_refresh_topk_sensitivity,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/topk_removal_sensitivity.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/topk_removal_sensitivity.csv,18_payoff_state_representation_research,18C,24,7fb1f0868d623a0a1e7841386bfa1e8f666034e6ea5525b83ba9aa036e8269bb,7fb1f0868d623a0a1e7841386bfa1e8f666034e6ea5525b83ba9aa036e8269bb,publishable_or_local_cache,pass,pass,24,exact_match,True,pass,False,
eighteen_c_refresh_family_sensitivity,eighteen_c_refresh_sensitivity,required,eighteen_c_refresh_family_sensitivity,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/family_removal_sensitivity.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/family_removal_sensitivity.csv,18_payoff_state_representation_research,18C,18,b00af92b95423d529624c705ed05d05e8618ae0a6b027a753c45119048cfd0b2,b00af92b95423d529624c705ed05d05e8618ae0a6b027a753c45119048cfd0b2,publishable_or_local_cache,pass,pass,18,exact_match,True,pass,False,
eighteen_c_refresh_baseline_comparison,eighteen_c_refresh_handoff,required,eighteen_c_refresh_baseline_comparison,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/baseline_comparison_readout.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/baseline_comparison_readout.csv,18_payoff_state_representation_research,18C,6,584c3a6cab32f230f0f14cc57baeb9313d4c1f4674f64677d035cb36b9e440b3,584c3a6cab32f230f0f14cc57baeb9313d4c1f4674f64677d035cb36b9e440b3,publishable_or_local_cache,pass,pass,6,exact_match,True,pass,False,
eighteen_c_refresh_search_accounting,eighteen_c_refresh_search_accounting,required,eighteen_c_refresh_search_accounting,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/search_accounting_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18C_refresh_payoff_state_separability_diagnostic/search_accounting_audit.csv,18_payoff_state_representation_research,18C,1,42ded009a490f4c48e8673f3521010173f8427a78e8aa348e48ee27c570bf48c,42ded009a490f4c48e8673f3521010173f8427a78e8aa348e48ee27c570bf48c,publishable_or_local_cache,pass,pass,1,exact_match,True,pass,False,
eighteen_c_refresh_report,eighteen_c_refresh_report,required,eighteen_c_refresh_report,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/reports/payoff_state_separability_refresh_report.md,experiments/pending/18_payoff_state_representation_research/outputs/publishable/reports/payoff_state_separability_refresh_report.md,18_payoff_state_representation_research,18C,343,9c76c848eb5bf331c85912cdf6e70a354789b667b6417aa6a498cf63bf9654b3,9c76c848eb5bf331c85912cdf6e70a354789b667b6417aa6a498cf63bf9654b3,publishable_or_local_cache,pass,pass,343,exact_match,True,pass,False,
eighteen_c_refresh_manifest,eighteen_c_refresh_manifest,required,eighteen_c_refresh_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/18C_refresh_payoff_state_separability_diagnostic_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18C_refresh_payoff_state_separability_diagnostic_manifest.json,18_payoff_state_representation_research,18C,1,d97a1235f7941fcff0ee5f12ed07e6ab29129aa35b99594a2f5c550c91892a6b,,publishable_or_local_cache,pass,pass,1,not_manifested,True,pass,False,
eighteen_e_refreshed_matrix,eighteen_e_handoff_matrix,required,eighteen_e_refreshed_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/local_cache/18E_payoff_state_feature_matrix_refresh/refreshed_payoff_state_feature_matrix.parquet,experiments/pending/18_payoff_state_representation_research/outputs/local_cache/18E_payoff_state_feature_matrix_refresh/refreshed_payoff_state_feature_matrix.parquet,18_payoff_state_representation_research,18E,23405,03d409f73836413adc9f3bd7f3827d072c68ea4b259ffb8c221570bd882641fc,03d409f73836413adc9f3bd7f3827d072c68ea4b259ffb8c221570bd882641fc,publishable_or_local_cache,pass,pass,23405,exact_match,True,pass,False,
eighteen_e_refreshed_matrix_manifest,eighteen_e_manifest,required,eighteen_e_refreshed_matrix_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/refreshed_payoff_state_feature_matrix_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/refreshed_payoff_state_feature_matrix_manifest.json,18_payoff_state_representation_research,18E,1,2082a455647ba22f8c66444db50b93e940928ee1daf427e4ac5ea53d0ebbbf7a,,publishable_or_local_cache,pass,pass,1,not_manifested,True,pass,False,
eighteen_e_schema,eighteen_e_schema,required,eighteen_e_schema,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_matrix_schema.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18E_payoff_state_feature_matrix_refresh/refreshed_feature_matrix_schema.csv,18_payoff_state_representation_research,18E,127,56429807004c0d3ad69101c87d1f125b4c8e33713d702f53f251002fea235a26,56429807004c0d3ad69101c87d1f125b4c8e33713d702f53f251002fea235a26,publishable_or_local_cache,pass,pass,127,exact_match,True,pass,False,
eighteen_a_target_contract_doc,eighteen_a_target_contract,required,eighteen_a_target_contract_doc,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/payoff_state_target_contract.md,experiments/pending/18_payoff_state_representation_research/outputs/publishable/payoff_state_target_contract.md,18_payoff_state_representation_research,18A,51,e5db7639d27386d1ac643213c4b09566887fe7c633b299d97d22553c94e2c6d2,,publishable_or_local_cache,pass,pass,51,not_manifested,True,pass,False,
eighteen_a_decision,eighteen_a_target_contract,required,eighteen_a_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_state_contract_decision.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_state_contract_decision.csv,18_payoff_state_representation_research,18A,1,317ef5f7a3aaf81c80537b4a3e0f95cb7e4464501a9ef03ff0e228c12de069f4,,publishable_or_local_cache,pass,pass,1,not_manifested,True,pass,False,
eighteen_a_target_definition_registry,eighteen_a_target_contract,required,eighteen_a_target_definition_registry,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_definition_registry.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_definition_registry.csv,18_payoff_state_representation_research,18A,6,a1defde0c5fc74b78c05f17e08494aa1d2e55f960d8eb4daa0a0d7cdc26c878e,,publishable_or_local_cache,pass,pass,6,not_manifested,True,pass,False,
eighteen_a_target_denominator_reconciliation,eighteen_a_target_contract,required,eighteen_a_target_denominator_reconciliation,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_denominator_reconciliation.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/target_denominator_reconciliation.csv,18_payoff_state_representation_research,18A,3,bca81068d09e4a9a65a36cd0bfe3ee6d7b48721ed23f402fc4cc133e695ebc15,,publishable_or_local_cache,pass,pass,3,not_manifested,True,pass,False,
eighteen_a_oracle_reference_denominator_map,eighteen_a_oracle_map,required,eighteen_a_oracle_reference_denominator_map,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/oracle_reference_denominator_map.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/oracle_reference_denominator_map.csv,18_payoff_state_representation_research,18A,4,5bf63a34b862ecc334b4d17a9b15f9114c9276655a2630bd21f6597c580dd708,,publishable_or_local_cache,pass,pass,4,not_manifested,True,pass,False,
eighteen_a_o5_incremental_definition_replay,eighteen_a_o5_replay,required,eighteen_a_o5_incremental_definition_replay,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/o5_incremental_definition_replay.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/o5_incremental_definition_replay.csv,18_payoff_state_representation_research,18A,3,ab481fc339f129754ae259fe517339e488bc3798dffaa582345b0fa4d6bf7229,,publishable_or_local_cache,pass,pass,3,not_manifested,True,pass,False,
eighteen_a_payoff_cutoff_freeze,eighteen_a_target_contract,required,eighteen_a_payoff_cutoff_freeze,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_cutoff_freeze.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/payoff_cutoff_freeze.csv,18_payoff_state_representation_research,18A,3,90f11e08b53b144c72986a79a27ccc87e68813410978c4b647db0f613dceec4a,,publishable_or_local_cache,pass,pass,3,not_manifested,True,pass,False,
eighteen_a_neutral_preservation_audit,eighteen_a_target_contract,required,eighteen_a_neutral_preservation_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/neutral_preservation_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18A_payoff_state_contract_preflight/neutral_preservation_audit.csv,18_payoff_state_representation_research,18A,3,ad2e1bf16fc9ef2f0c06f580df978031798cf809fa73e534c2bd0ec25091f3df,,publishable_or_local_cache,pass,pass,3,not_manifested,True,pass,False,
eighteen_a_manifest,eighteen_a_manifest,required,eighteen_a_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/18A_payoff_state_contract_preflight_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18A_payoff_state_contract_preflight_manifest.json,18_payoff_state_representation_research,18A,1,1d7d4162874e09ce53e656e53f90105ebfb516173fadda0da76ba82ce6743e1e,,publishable_or_local_cache,pass,pass,1,not_manifested,True,pass,False,
eighteen_a_target_contract_manifest,eighteen_a_manifest,required,eighteen_a_target_contract_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_target_contract_manifest.json,experiments/pending/18_payoff_state_representation_research/outputs/manifests/payoff_state_target_contract_manifest.json,18_payoff_state_representation_research,18A,1,96874e6c4e3eb5588742e588e3a0abcb2dc9f14ca29e4f4a72fb27ffaeaa6bad,,publishable_or_local_cache,pass,pass,1,not_manifested,True,pass,False,
seventeen_d_decision,ep17_oracle_reference,required,seventeen_d_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_diagnosis_decision.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_diagnosis_decision.csv,17_oracle_action_value_upper_bound_diagnostic,17D,1,dde55f4017cae043c7374542c0b986dc8f3dad12bdd87b77eaaa940f6a4c4b06,,publishable_or_local_cache,pass,pass,1,not_manifested,True,pass,False,
seventeen_d_oracle_value_source_attribution,ep17_oracle_reference,required,seventeen_d_oracle_value_source_attribution,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_value_source_attribution.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_value_source_attribution.csv,17_oracle_action_value_upper_bound_diagnostic,17D,4,f3ae9e58a44642ad1cdd6c542b3ae987fb4d195b6537f96a7c9de3a768721e0c,,publishable_or_local_cache,pass,pass,4,not_manifested,True,pass,False,
seventeen_d_oracle_learned_model_gap_bridge,ep17_oracle_reference,required,seventeen_d_oracle_learned_model_gap_bridge,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_learned_model_gap_bridge.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/oracle_learned_model_gap_bridge.csv,17_oracle_action_value_upper_bound_diagnostic,17D,7,d585f9d3162789c62f37a6ab02126c623c0a00bd40df6c815bbd43109ea2f695,,publishable_or_local_cache,pass,pass,7,not_manifested,True,pass,False,
seventeen_d_search_accounting,ep17_oracle_reference,required,seventeen_d_search_accounting,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/search_accounting_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17D_oracle_diagnosis_report/search_accounting_audit.csv,17_oracle_action_value_upper_bound_diagnostic,17D,1,717123395445740be2c515debb48e9c3a3665091fc7d3130c4c67cc42107734c,,publishable_or_local_cache,pass,pass,1,not_manifested,True,pass,False,
seventeen_d_manifest,ep17_oracle_manifest,required,seventeen_d_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17D_oracle_diagnosis_report_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17D_oracle_diagnosis_report_manifest.json,17_oracle_action_value_upper_bound_diagnostic,17D,1,ebbb8f7e4d47098e834be1fb136c0fac8ea0ae0635906f2e44cef30271707cf9,,publishable_or_local_cache,pass,pass,1,not_manifested,True,pass,False,
seventeen_b_oracle_ladder_summary,ep17_oracle_reference,required,seventeen_b_oracle_ladder_summary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_ladder_summary.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_ladder_summary.csv,17_oracle_action_value_upper_bound_diagnostic,17B,432,d7a9f8ad465cd0b9908348af35a964dc17c7d571be983ac1fce618a7c3475d97,,publishable_or_local_cache,pass,pass,432,not_manifested,True,pass,False,
seventeen_b_o5_action_selection_proof,ep17_oracle_reference,required,seventeen_b_o5_action_selection_proof,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o5_action_selection_proof.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o5_action_selection_proof.csv,17_oracle_action_value_upper_bound_diagnostic,17B,36,4ca16a5ba518b5e9a62cfaa02f2eaa92681b6f0ebf53fad6176701087c8f8e4f,,publishable_or_local_cache,pass,pass,36,not_manifested,True,pass,False,
seventeen_b_o2_drawdown_threshold_replay,ep17_oracle_reference,required,seventeen_b_o2_drawdown_threshold_replay,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o2_drawdown_threshold_replay.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o2_drawdown_threshold_replay.csv,17_oracle_action_value_upper_bound_diagnostic,17B,15,d9b56f0bf7d84a8700959ef2e1b5550f6aa8e5f44c61febacdc14ad3514753e6,,publishable_or_local_cache,pass,pass,15,not_manifested,True,pass,False,
seventeen_b_high_upside_threshold_freeze,ep17_oracle_reference,required,seventeen_b_high_upside_threshold_freeze,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_high_upside_threshold_freeze.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_high_upside_threshold_freeze.csv,17_oracle_action_value_upper_bound_diagnostic,17B,3,0ab46b8f5044126bf17456702f8eb9c94d93f3d1ab5f2f96b89c05b52a78c5f2,,publishable_or_local_cache,pass,pass,3,not_manifested,True,pass,False,
seventeen_b_manifest,ep17_oracle_manifest,required,seventeen_b_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17B_oracle_ladder_replay_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17B_oracle_ladder_replay_manifest.json,17_oracle_action_value_upper_bound_diagnostic,17B,1,44e4f0b15527697b63ba62b4e791d427cec5587e72a08159fb1b28c37f9d1bd9,,publishable_or_local_cache,pass,pass,1,not_manifested,True,pass,False,
